State,Bedrooms,Bathrooms,Area (Sqft),Lot Size,Year Built,City,Zipcode,Address,Price,Status,Listing URL
CA,1 bds,3 ba,772 sqft,4757 sqft,1959,San Diego,65383,"5926 Oak Ave, San Diego, CA 65383","$554,217",For Sale,https://www.zillow.com/homedetails/80374762_zpid/
IL,1 bds,1 ba,2348 sqft,3615 sqft,1969,Fresno,79339,"9583 Oak Ave, Fresno, IL 79339","$164,454",Sold,https://www.zillow.com/homedetails/86143665_zpid/
TX,6 bds,1 ba,3630 sqft,9369 sqft,1990,Sacramento,87393,"8224 Oak Ave, Sacramento, TX 87393","$1,249,331",For Sale,https://www.zillow.com/homedetails/37082403_zpid/
TX,2 bds,1 ba,605 sqft,8804 sqft,1958,Fresno,38666,"232 Oak Ave, Fresno, TX 38666","$189,267",Pending,https://www.zillow.com/homedetails/39318132_zpid/
CA,3 bds,2 ba,1711 sqft,9260 sqft,2020,Los Angeles,23989,"5446 Pine Rd, Los Angeles, CA 23989","$465,778",Pending,https://www.zillow.com/homedetails/22454634_zpid/
NY,5 bds,3 ba,1177 sqft,8317 sqft,2015,Sacramento,71318,"9202 Maple Dr, Sacramento, NY 71318","$738,357",Pending,https://www.zillow.com/homedetails/90690049_zpid/
NY,6 bds,1 ba,1990 sqft,5592 sqft,2012,Sacramento,57421,"2698 Elm St, Sacramento, NY 57421","$1,325,395",Pending,https://www.zillow.com/homedetails/99288749_zpid/
IL,2 bds,2 ba,1008 sqft,6010 sqft,1975,San Diego,64361,"2118 Main St, San Diego, IL 64361","$1,158,003",For Sale,https://www.zillow.com/homedetails/91922548_zpid/
FL,6 bds,2 ba,929 sqft,5449 sqft,1975,San Francisco,13227,"9474 Main St, San Francisco, FL 13227","$240,095",Pending,https://www.zillow.com/homedetails/79694016_zpid/
NY,2 bds,3 ba,2094 sqft,2179 sqft,1970,San Diego,57397,"8803 Maple Dr, San Diego, NY 57397","$1,356,448",Pending,https://www.zillow.com/homedetails/13312383_zpid/
FL,3 bds,3 ba,2350 sqft,3341 sqft,2013,San Diego,70072,"7535 Elm St, San Diego, FL 70072","$678,604",Pending,https://www.zillow.com/homedetails/27502592_zpid/
CA,3 bds,1 ba,2407 sqft,2609 sqft,1989,Fresno,57401,"413 Main St, Fresno, CA 57401","$1,264,926",Sold,https://www.zillow.com/homedetails/63532546_zpid/
CA,4 bds,3 ba,2746 sqft,8256 sqft,2008,Los Angeles,91395,"9692 Maple Dr, Los Angeles, CA 91395","$645,962",Pending,https://www.zillow.com/homedetails/20308759_zpid/
NY,1 bds,4 ba,3387 sqft,1740 sqft,1966,Sacramento,28568,"905 Oak Ave, Sacramento, NY 28568","$575,637",Pending,https://www.zillow.com/homedetails/36948512_zpid/
CA,5 bds,4 ba,3480 sqft,2022 sqft,2007,Fresno,29191,"8699 Elm St, Fresno, CA 29191","$507,793",Sold,https://www.zillow.com/homedetails/44716305_zpid/
TX,2 bds,4 ba,2351 sqft,2275 sqft,2007,Sacramento,63853,"2475 Elm St, Sacramento, TX 63853","$1,171,629",For Sale,https://www.zillow.com/homedetails/51686892_zpid/
CA,3 bds,2 ba,722 sqft,6443 sqft,1953,Sacramento,57513,"5887 Oak Ave, Sacramento, CA 57513","$698,570",Sold,https://www.zillow.com/homedetails/13509507_zpid/
TX,3 bds,1 ba,2356 sqft,3883 sqft,1958,San Francisco,17359,"3934 Elm St, San Francisco, TX 17359","$534,688",Pending,https://www.zillow.com/homedetails/33809829_zpid/
NY,6 bds,3 ba,1156 sqft,1218 sqft,1958,Los Angeles,11690,"3087 Maple Dr, Los Angeles, NY 11690","$1,108,288",Sold,https://www.zillow.com/homedetails/72178243_zpid/
